,index,pca,tech,mean_cf,total_lcoe,capacity,dist_mi,rank_mean_cf,rank_total_lcoe,rank_dist_mi,rank,lon,lat,point
0,0.0,p1,wind,0.457030207,21.92806933,164.9484,0.166151199,1.0,1.0,1.0,1.0,-120.188,46.863,"(-120.188, 46.863)"
1,1.0,p10,wind,0.41602802299999997,25.60643993,128.304,0.694486862,2.0,3.0,3.0,1.0,-118.531,34.701,"(-118.531, 34.701)"
2,2.0,p100,wind,0.413359553,24.68635937,102.2544,1.70906065,1.0,1.0,2.0,1.0,-78.043,38.939,"(-78.043, 38.939)"
3,3.0,p101,wind,0.332570225,28.27587424,103.2264,0.6811181409999999,2.0,2.0,1.0,1.0,-82.669,29.709,"(-82.669, 29.709)"
4,4.0,p102,wind,0.31485319100000003,30.09049337,104.7816,2.9230919839999996,1.0,1.0,5.0,1.0,-80.765,28.154,"(-80.765, 28.154)"
5,5.0,p103,wind,0.494137049,19.737950100000003,134.9136,5.475754155,3.0,2.0,5.0,1.0,-84.854,45.032,"(-84.854, 45.032)"
6,6.0,p104,wind,0.46568638100000004,21.05732356,21.93075,0.022484628,4.0,4.0,1.0,1.0,-86.227,42.028,"(-86.227, 42.028)"
7,7.0,p105,wind,0.476538122,20.23094417,121.6944,0.25184286699999997,1.0,1.0,3.0,1.0,-84.898,40.098,"(-84.898, 40.098)"
8,8.0,p106,wind,0.468775392,20.28334809,59.1462,1.160121437,1.0,1.0,5.0,1.0,-86.209,40.155,"(-86.209, 40.155)"
9,9.0,p107,wind,0.467888087,20.39378799,108.0864,1.169355841,1.0,1.0,8.0,1.0,-85.379,39.868,"(-85.379, 39.868)"
10,10.0,p108,wind,0.418038487,22.58861701,117.126,1.8816144559999999,1.0,1.0,4.0,1.0,-87.821,37.615,"(-87.821, 37.615)"
11,11.0,p109,wind,0.405869126,23.26931351,131.8032,0.12744641199999998,4.0,3.0,1.0,1.0,-84.256,38.101,"(-84.256, 38.101)"
12,12.0,p11,wind,0.408102542,25.50417604,8.5293,0.443007728,2.0,1.0,2.0,1.0,-116.3,32.618,"(-116.3, 32.618)"
13,13.0,p110,wind,0.350370497,26.94301972,110.9052,1.796287625,2.0,1.0,2.0,1.0,-82.813,38.297,"(-82.813, 38.297)"
14,14.0,p111,wind,0.45377928,21.38621535,116.154,0.5282436110000001,3.0,1.0,1.0,1.0,-83.969,41.703,"(-83.969, 41.703)"
15,15.0,p112,wind,0.466384113,20.74847874,121.2084,0.681151602,2.0,1.0,4.0,1.0,-83.683,40.412,"(-83.683, 40.412)"
16,16.0,p113,wind,0.466712445,20.57164766,114.1128,1.166584211,2.0,2.0,4.0,1.0,-84.696,39.87,"(-84.696, 39.87)"
