,index,pca,tech,mean_cf,total_lcoe,capacity,dist_mi,rank_mean_cf,rank_total_lcoe,rank_dist_mi,rank,lon,lat,point
0,0,p1,solar,0.19101426,51.29382312,118.3023352,0.31193348600000004,1.0,2.0,6.0,1.0,-120.26,47.21,"(-120.26, 47.21)"
1,1,p10,solar,0.257999986,37.83564503,151.5303387,0.10828368599999999,3.0,3.0,4.0,1.0,-116.62,34.61,"(-116.62, 34.61)"
2,2,p100,solar,0.17732466800000002,55.16127273,121.1843531,4.1744238639999995,1.0,1.0,8.0,1.0,-78.58,38.65,"(-78.58, 38.65)"
3,3,p101,solar,0.214163169,45.73216592,116.7854361,0.133373566,4.0,5.0,2.0,1.0,-82.5,27.65,"(-82.5, 27.65)"
4,4,p102,solar,0.213581488,45.92779464,211.35772969999996,1.163336285,1.0,1.0,7.0,1.0,-80.42,25.53,"(-80.42, 25.53)"
5,5,p103,solar,0.16985859,57.63447825,234.3205336,0.30471435199999997,1.0,3.0,3.0,1.0,-83.54,41.81,"(-83.54, 41.81)"
6,6,p104,solar,0.168978795,57.96300377,217.8086361,0.652621848,2.0,4.0,4.0,1.0,-86.54,41.93,"(-86.54, 41.93)"
7,7,p105,solar,0.177320287,55.16231569,239.50714390000002,0.365211503,1.0,1.0,7.0,1.0,-87.5,39.29,"(-87.5, 39.29)"
8,8,p106,solar,0.17398761199999999,56.10873974,257.6986523,2.046172366,2.0,1.0,7.0,1.0,-86.14,40.13,"(-86.14, 40.13)"
9,9,p107,solar,0.18200001100000002,53.49927767,162.4628074,0.534677996,1.0,1.0,8.0,1.0,-87.94,37.93,"(-87.94, 37.93)"
10,10,p108,solar,0.18242442600000003,53.38148917,236.39155490000002,0.310782818,2.0,1.0,3.0,1.0,-88.14,37.33,"(-88.14, 37.33)"
11,11,p109,solar,0.178377375,54.52446221,143.0372039,0.3648552,2.0,2.0,3.0,1.0,-85.98,36.97,"(-85.98, 36.97)"
12,12,p11,solar,0.258210421,37.89902978,154.4832,0.047762492999999996,1.0,1.0,1.0,1.0,-116.3,32.77,"(-116.3, 32.77)"
13,13,p110,solar,0.164883271,59.56638912,105.84662340000001,5.481329382999999,3.0,1.0,1.0,1.0,-82.74,38.41,"(-82.74, 38.41)"
14,14,p111,solar,0.16978408399999997,57.32361534,144.894825,0.6038896220000001,1.0,1.0,7.0,1.0,-83.7,41.53,"(-83.7, 41.53)"
15,15,p112,solar,0.17299999300000002,56.61298463,229.8519281,0.005890536,3.0,3.0,1.0,1.0,-84.54,39.93,"(-84.54, 39.93)"
16,16,p113,solar,0.17400001,56.40033867,247.5843785,0.122942728,2.0,2.0,1.0,1.0,-84.74,39.89,"(-84.74, 39.89)"
17,17,p114,solar,0.17270976300000002,56.73111305,231.85152069999998,0.005861229,3.0,6.0,1.0,1.0,-84.54,39.53,"(-84.54, 39.53)"
18,18,p115,solar,0.158221453,61.63270029,111.9090305,0.78975456,4.0,5.0,3.0,1.0,-79.98,39.85,"(-79.98, 39.85)"
19,19,p116,solar,0.172774747,56.90935459,105.0871693,0.7600623679999999,1.0,1.0,5.0,1.0,-77.78,39.29,"(-77.78, 39.29)"
20,20,p117,solar,0.16799998300000002,58.00081171,113.5180828,1.301770797,5.0,3.0,2.0,1.0,-81.06,37.81,"(-81.06, 37.81)"
21,21,p118,solar,0.18212921899999998,53.35020855,125.1057656,0.176867511,6.0,2.0,1.0,1.0,-79.9,36.61,"(-79.9, 36.61)"
22,22,p119,solar,0.158999994,61.87566408,107.1406063,1.706461107,2.0,2.0,2.0,1.0,-77.82,40.89,"(-77.82, 40.89)"
23,23,p12,solar,0.24583821,39.83672159,171.8072648,0.596870439,7.0,2.0,2.0,1.0,-116.78,37.01,"(-116.78, 37.01)"
24,24,p120,solar,0.17100000399999998,57.401986300000004,191.2481191,0.063938155,1.0,1.0,1.0,1.0,-77.74,39.73,"(-77.74, 39.73)"
