,Scenario,Tech,Batt Size (MW),Marginal Cost ($/MWh),Grid Value ($ / MWh),Avoided CO2 (lbs / MWh),gen
6,Low Cost,PV,0.0,19.843877042918262,31.40074246390162,273.40560436849097,2537215.354334612
7,Low Cost,PV,25.0,38.97000718956235,34.711011753932894,279.4966266078118,2491041.376399458
8,Low Cost,PV,100.0,66.38378953417258,35.93853625221867,284.66339650049383,2441906.6522630663
9,Low Cost,Wind,0.0,40.011178207364374,36.3378805805422,287.44571681019664,2809004.3361746166
10,Low Cost,Wind,25.0,45.16908878708446,35.93406782212649,285.7084191699888,2855799.453705663
11,Low Cost,Wind,100.0,58.12273844615578,36.40346323130867,285.9630235174042,2985945.581169545
12,Mid Cost,PV,0.0,17.21752728998202,41.8076976898856,315.9376308011779,2534447.3102213005
13,Mid Cost,PV,25.0,36.52082258177792,44.33722037834894,319.07381698128904,2490818.7821109635
14,Mid Cost,PV,100.0,64.54371140765149,43.84207558799067,319.42627102579945,2443186.83691375
15,Mid Cost,Wind,0.0,39.80275102855898,37.62372002278575,304.9176303645708,2804902.7715855273
16,Mid Cost,Wind,25.0,44.86787967622496,37.55356500055349,304.6827036418951,2855799.4537056633
17,Mid Cost,Wind,100.0,57.73644314183766,38.2340674782479,305.3537162747633,2985945.5811695443
0,High Cost,PV,0.0,15.880952639967473,48.15282282011859,345.9201643510593,2532789.1280592866
1,High Cost,PV,25.0,35.394791804716405,49.78410839471005,347.2674153255252,2490392.963755138
2,High Cost,PV,100.0,63.70171972731125,48.45742139239963,345.2896932560284,2441683.1305710142
3,High Cost,Wind,0.0,39.60720698858886,38.81282520881997,328.0363112460446,2804902.7715855273
4,High Cost,Wind,25.0,44.63901513101623,38.86841651056812,328.4951130815042,2855799.453705663
5,High Cost,Wind,100.0,57.48944589198712,39.5884048136787,329.171508009966,2985945.581169545
