,Goal Type,Goal %,Tech,Annual Energy Production (GWh),Adjusted Installed Cost (mill. $),Marginal Cost ($/MWh),Grid Value ($/MWh),Avoided CO2 (lbs / MWh)
0,Annual RECs,25,PV,24.985871463026406,18.657430890062688,19.67799233753458,32.81914121021339,290.1864511698549
1,Annual RECs,50,PV,49.79440775171438,36.713476597958575,19.42213572605994,32.84641297206272,290.2396539205502
2,Annual RECs,75,PV,74.56741024372792,54.683473411178454,19.28552803034124,32.88339458679557,290.1773536338876
3,Annual RECs,95,PV,94.37277387787846,68.89746597674217,19.170379707356606,32.86264539161114,290.29487041401075
8,Annual RECs,25,Wind,27.203150077186127,28.502997937652708,36.11472684474458,30.896660823414713,369.1350814183328
9,Annual RECs,50,Wind,52.201467724405674,54.68876116909757,36.38408427088296,30.910428011631,369.19509721077986
10,Annual RECs,75,Wind,77.26566347142855,80.70915233068278,36.84714942116503,30.905382593110843,369.23964493923756
11,Annual RECs,95,Wind,97.07545597571682,100.90819723516023,37.00659628781152,30.881771218106483,369.2459403331874
4,Hourly Energy,25,PV,26.021042013693528,19.521506059370466,19.698308682985648,32.88980079256019,290.1178810915058
5,Hourly Energy,50,PV,61.321707096060535,69.33871403797458,41.22884138926518,33.75178430511672,299.06764387334005
6,Hourly Energy,75,PV,96.2219855063206,130.9860237656897,58.946637444307115,35.15566617711678,320.89074295596174
7,Hourly Energy,95,PV,202.98401918800087,293.41416874247307,56.219589756627684,36.8386822099926,332.5178143278631
12,Hourly Energy,25,Wind,28.352447443755445,38.93647142184143,43.600418487839576,30.766664846798108,368.6440123550698
13,Hourly Energy,50,Wind,73.50946628189038,150.89762978751344,55.512669411438615,31.034075294586394,363.71165372009847
14,Hourly Energy,75,Wind,148.06620548521698,357.16427696616455,62.82030875750512,31.43250448287463,361.07626983632434
15,Hourly Energy,95,Wind,361.928953274046,974.6009607236454,72.75476367632398,31.734583282560543,361.7933364383281
