,state,tech,goal_type,goal_pct,adjusted_installed_cost,system_capacity,turbine_class,wind_turbine_hub_ht,subarray1_azimuth,subarray1_tilt,dc_ac_ratio,desired_power,desired_capacity,batt_duration
2853,CA,pv,hourly_energy,25,15.084980568886035,10.133777303375084,,,181.58991266254816,41.23890502413932,1.1736853107934262,0.0,0.003,inf
3208,CA,pv,hourly_energy,50,41.73083174396582,19.873308982024543,,,178.25654839875983,35.155863635789615,1.199594722891721,8.213005696209706,32.85202278483882,4.0
3563,CA,pv,hourly_energy,75,90.5467642044159,35.996174493581414,,,182.01805415367252,34.806491265639664,1.1980611584118246,24.888547298614675,99.5541891944587,4.0
3922,CA,pv,hourly_energy,95,139.99103921970058,46.73680275875989,,,180.85413517404223,35.54293627849924,1.1999057443164964,47.07532116434858,188.30128465739432,4.0
247,TX,wind,hourly_energy,25,12.648580275840718,7.356296847535142,6.0,98.36645816707947,,,,0.0,0.003,inf
604,TX,wind,hourly_energy,50,24.880825466200793,16.325532260904478,6.0,98.25227751000246,,,,3.84103311751292e-12,1.536413247005168e-11,4.0
3803,TX,pv,hourly_energy,75,86.23387527292967,33.893458047339294,,,181.83844608495247,31.84674982069886,1.1987286306287301,28.85256520442513,115.41026081770052,4.0
4159,TX,pv,hourly_energy,95,136.72170867541848,53.66931928197196,,,180.4676176411183,32.28483349549468,1.1993238810859188,45.97417444854505,183.8966977941802,4.0
