Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1043528,-,b'Nevada',b'United States',35.86,-115.29,0,1006,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,CLD OPD DCOMP,CLD REFF DCOMP,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,
2019,1,1,0,0,1.7000000000000002,1.09,0.0205,0.62,25.13,11.94,26,561,83,4,-12.4,14,0,3,14,0.373,34.38,84.2,0.9,0.25,897,0.4,28,2.2,,,,,,,,,,,,,,,,,
2019,1,1,1,0,-0.1,1.16,0.0196,0.62,0,0,0,0,0,4,-11.700000000000001,0,0,0,0,0.378,41.25,94.92,0.9,0.25,897,0.4,34,1.8,,,,,,,,,,,,,,,,,
2019,1,1,2,0,-0.6000000000000001,1.23,0.0187,0.62,0,0,0,0,0,1,-11.4,0,0,0,0,0.383,43.9,106.26,0.9,0.25,898,0.4,35,1.7000000000000002,,,,,,,,,,,,,,,,,
2019,1,1,3,0,-1.2000000000000002,1.27,0.018600000000000002,0.62,0,0,0,0,0,0,-11.5,0,0,0,0,0.387,45.35,118.08,0.9,0.25,898,0.30000000000000004,33,1.7000000000000002,,,,,,,,,,,,,,,,,
2019,1,1,4,0,-2,1.27,0.0196,0.62,0,0,0,0,0,0,-12.100000000000001,0,0,0,0,0.39,46.1,130.17000000000002,0.9,0.25,899,0.30000000000000004,27,2,,,,,,,,,,,,,,,,,
2019,1,1,5,0,-2.6,1.22,0.0234,0.62,0,0,0,0,0,1,-12.700000000000001,0,0,0,0,0.392,45.83,142.29,0.91,0.25,899,0.30000000000000004,21,2.3000000000000003,,,,,,,,,,,,,,,,,
2019,1,1,6,0,-3,1.19,0.029500000000000002,0.62,0,0,0,0,0,0,-13.100000000000001,0,0,0,0,0.393,45.550000000000004,154,0.92,0.25,900,0.30000000000000004,11,2.6,,,,,,,,,,,,,,,,,
2019,1,1,7,0,-3.3000000000000003,1.2,0.0346,0.62,0,0,0,0,0,0,-13.3,0,0,0,0,0.393,45.93,163.94,0.92,0.25,900,0.30000000000000004,2,2.8000000000000003,,,,,,,,,,,,,,,,,
2019,1,1,8,0,-3.5,1.21,0.0364,0.62,0,0,0,0,0,0,-13.200000000000001,0,0,0,0,0.393,47.02,166.72,0.92,0.25,901,0.30000000000000004,358,3,,,,,,,,,,,,,,,,,
2019,1,1,9,0,-3.7,1.21,0.0362,0.62,0,0,0,0,0,0,-13.100000000000001,0,0,0,0,0.392,48.17,159.21,0.91,0.25,901,0.30000000000000004,356,3,,,,,,,,,,,,,,,,,
2019,1,1,10,0,-3.8000000000000003,1.2,0.035500000000000004,0.62,0,0,0,0,0,0,-13.100000000000001,0,0,0,0,0.391,48.32,148.04,0.91,0.25,902,0.30000000000000004,357,3,,,,,,,,,,,,,,,,,
2019,1,1,11,0,-3.9000000000000004,1.18,0.0337,0.62,0,0,0,0,0,0,-13.600000000000001,0,0,0,0,0.39,46.97,136.04,0.91,0.25,902,0.30000000000000004,0,3.2,,,,,,,,,,,,,,,,,
2019,1,1,12,0,-4,1.17,0.030500000000000003,0.62,0,0,0,0,0,0,-14.3,0,0,0,0,0.39,44.69,123.9,0.9,0.25,902,0.30000000000000004,2,3.3000000000000003,,,,,,,,,,,,,,,,,
2019,1,1,13,0,-4.1000000000000005,1.19,0.026500000000000003,0.62,0,0,0,0,0,0,-14.9,0,0,0,0,0.392,42.800000000000004,111.91,0.89,0.25,903,0.2,3,3.4000000000000004,,,,,,,,,,,,,,,,,
2019,1,1,14,0,-4.2,1.21,0.0235,0.62,0,0,0,0,0,0,-15.3,0,0,0,0,0.394,41.65,100.3,0.89,0.25,904,0.2,2,3.4000000000000004,,,,,,,,,,,,,,,,,
2019,1,1,15,0,-2.7,1.22,0.0221,0.62,0,0,11,282,16,0,-15.700000000000001,11,282,0,16,0.395,35.97,88.94,0.88,0.25,905,0.2,3,4.5,,,,,,,,,,,,,,,,,
2019,1,1,16,0,-0.7000000000000001,1.2,0.0219,0.62,0,0,38,755,180,0,-16.900000000000002,38,755,0,180,0.395,28.19,79.17,0.88,0.25,906,0.2,9,6.300000000000001,,,,,,,,,,,,,,,,,
2019,1,1,17,0,0.8,1.1500000000000001,0.0223,0.62,0,0,51,909,354,0,-17.8,51,909,0,354,0.394,23.38,70.51,0.88,0.25,906,0.2,16,7,,,,,,,,,,,,,,,,,
2019,1,1,18,0,2,1.12,0.0228,0.62,0,0,59,978,490,0,-18.1,59,978,0,490,0.391,20.900000000000002,63.81,0.88,0.25,906,0.2,19,6.9,,,,,,,,,,,,,,,,,
2019,1,1,19,0,3,1.12,0.0227,0.62,0,0,62,1009,571,0,-18.3,62,1009,0,571,0.387,19.25,59.75,0.88,0.25,905,0.2,20,6.7,,,,,,,,,,,,,,,,,
2019,1,1,20,0,3.6,1.1400000000000001,0.0221,0.62,0,0,63,1016,587,0,-18.3,63,1016,0,587,0.382,18.43,58.92,0.88,0.25,904,0.2,22,6.1000000000000005,,,,,,,,,,,,,,,,,
2019,1,1,21,0,4,1.1500000000000001,0.021500000000000002,0.62,0,0,60,1000,538,0,-18.2,60,1000,0,538,0.377,17.98,61.43,0.88,0.25,904,0.2,26,5.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,1,22,0,4,1.18,0.020300000000000002,0.62,0,0,54,955,428,0,-18.1,54,955,0,428,0.372,18.17,66.92,0.88,0.25,903,0.2,28,5,,,,,,,,,,,,,,,,,
2019,1,1,23,0,2.8000000000000003,1.2,0.019,0.62,0,0,44,857,270,0,-16.8,44,857,0,270,0.365,22.16,74.7,0.88,0.25,904,0.2,29,3.3000000000000003,,,,,,,,,,,,,,,,,
2019,1,2,0,0,-1.4000000000000001,1.25,0.0176,0.62,0,0,26,610,89,0,-14.200000000000001,26,610,0,89,0.357,37,84.07000000000001,0.88,0.26,904,0.2,27,1.5,,,,,,,,,,,,,,,,,
2019,1,2,1,0,-2.2,1.29,0.0164,0.62,0,0,0,0,0,0,-14.700000000000001,0,0,0,0,0.34900000000000003,37.75,94.78,0.87,0.26,905,0.2,15,1.5,,,,,,,,,,,,,,,,,
2019,1,2,2,0,-2.5,1.32,0.0155,0.62,0,0,0,0,0,0,-14.700000000000001,0,0,0,0,0.343,38.51,106.12,0.87,0.26,905,0.2,8,1.6,,,,,,,,,,,,,,,,,
2019,1,2,3,0,-2.9000000000000004,1.34,0.014700000000000001,0.62,0,0,0,0,0,0,-14.700000000000001,0,0,0,0,0.339,39.67,117.95,0.87,0.26,905,0.30000000000000004,14,1.6,,,,,,,,,,,,,,,,,
