Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3960118,-,b'Georgia',b'United States',31.38,-83.63,0,94,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,CLD OPD DCOMP,CLD REFF DCOMP,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,
2019,1,1,0,0,18.3,0.85,0.0502,0.63,0,0,0,0,0,0,18.1,0,0,0,0,0.226,98.91,106.27,0.96,0.15,1009,3.1,186,2,,,,,,,,,,,,,,,,,
2019,1,1,1,0,17.7,0.85,0.0459,0.63,0,0,0,0,0,0,17.7,0,0,0,0,0.227,100,118.67,0.9500000000000001,0.15,1009,2.9000000000000004,181,2.4000000000000004,,,,,,,,,,,,,,,,,
2019,1,1,2,0,17.2,0.85,0.0439,0.63,0,0,0,0,0,3,17.2,0,0,0,0,0.227,100,131.35,0.9500000000000001,0.15,1009,2.9000000000000004,183,2.6,,,,,,,,,,,,,,,,,
2019,1,1,3,0,16.900000000000002,0.86,0.0443,0.63,0,0,0,0,0,3,16.900000000000002,0,0,0,0,0.228,100,144.14000000000001,0.9500000000000001,0.15,1009,3,187,2.8000000000000003,,,,,,,,,,,,,,,,,
2019,1,1,4,0,16.6,0.86,0.046400000000000004,0.63,0,0,0,0,0,3,16.6,0,0,0,0,0.228,100,156.77,0.96,0.15,1009,3.2,190,2.8000000000000003,,,,,,,,,,,,,,,,,
2019,1,1,5,0,16.6,0.85,0.0504,0.63,0,0,0,0,0,0,16.6,0,0,0,0,0.227,100,168.16,0.96,0.15,1009,3.3000000000000003,196,3.2,,,,,,,,,,,,,,,,,
2019,1,1,6,0,16.7,0.8,0.055,0.63,0,0,0,0,0,3,16.7,0,0,0,0,0.227,100,170.3,0.96,0.15,1009,3.3000000000000003,201,3.2,,,,,,,,,,,,,,,,,
2019,1,1,7,0,16.7,0.76,0.0596,0.63,0,0,0,0,0,0,16.7,0,0,0,0,0.228,100,159.96,0.96,0.15,1009,3.1,203,3.1,,,,,,,,,,,,,,,,,
2019,1,1,8,0,16.6,0.73,0.06380000000000001,0.63,0,0,0,0,0,3,16.6,0,0,0,0,0.228,100,147.46,0.96,0.15,1009,3,203,2.9000000000000004,,,,,,,,,,,,,,,,,
2019,1,1,9,0,16.6,0.72,0.0654,0.63,0,0,0,0,0,3,16.6,0,0,0,0,0.227,100,134.68,0.97,0.15,1008,3,203,2.8000000000000003,,,,,,,,,,,,,,,,,
2019,1,1,10,0,16.900000000000002,0.72,0.063,0.63,0,0,0,0,0,3,16.900000000000002,0,0,0,0,0.225,100,121.95,0.96,0.15,1008,2.9000000000000004,208,2.9000000000000004,,,,,,,,,,,,,,,,,
2019,1,1,11,0,16.7,0.74,0.058800000000000005,0.63,0,0,0,0,0,3,16.7,0,0,0,0,0.224,100,109.45,0.96,0.15,1009,2.9000000000000004,210,2.5,,,,,,,,,,,,,,,,,
2019,1,1,12,0,16.6,0.75,0.054900000000000004,0.63,0,0,0,0,0,7,16.6,0,0,0,0,0.223,100,97.36,0.96,0.15,1010,2.9000000000000004,211,2.2,,,,,,,,,,,,,,,,,
2019,1,1,13,0,18.3,0.75,0.052700000000000004,0.63,1.53,10.8,26,284,47,3,18,27,55,3,31,0.222,98.43,85.7,0.96,0.15,1010,2.9000000000000004,213,2.9000000000000004,,,,,,,,,,,,,,,,,
2019,1,1,14,0,20.1,0.77,0.0514,0.63,0,0,56,635,217,1,19.400000000000002,56,635,0,217,0.222,96.01,75.29,0.96,0.15,1010,2.9000000000000004,215,3,,,,,,,,,,,,,,,,,
2019,1,1,15,0,22.200000000000003,1.12,0.0847,0.63,0,0,82,734,378,0,20.8,82,734,0,378,0.222,91.85000000000001,66.2,0.9500000000000001,0.15,1011,2.9000000000000004,225,3.6,,,,,,,,,,,,,,,,,
2019,1,1,16,0,23.6,1.1500000000000001,0.0868,0.63,3.3200000000000003,7.28,92,803,504,3,21.3,227,238,0,348,0.222,86.95,59.19,0.9500000000000001,0.15,1010,2.9000000000000004,232,4,,,,,,,,,,,,,,,,,
2019,1,1,17,0,24.5,1.18,0.0853,0.63,7.0200000000000005,6.36,97,837,575,3,21.6,260,91,0,312,0.221,83.73,55.1,0.9500000000000001,0.15,1010,2.9000000000000004,234,4.2,,,,,,,,,,,,,,,,,
2019,1,1,18,0,24.900000000000002,1.3,0.0937,0.63,9.55,6.67,100,833,582,3,21.6,245,46,0,272,0.22,82.06,54.59,0.9400000000000001,0.15,1009,2.9000000000000004,232,4.1000000000000005,,,,,,,,,,,,,,,,,
