Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3454454,-,b'Tennessee',b'United States',35.5,-89.55,0,110,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,CLD OPD DCOMP,CLD REFF DCOMP,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,
2019,1,1,0,0,10,1.37,0.1168,0.62,0,0,0,0,0,7,9.200000000000001,0,0,0,0,0.231,95.07000000000001,102.87,0.96,0.16,1001,1.1,258,2.5,,,,,,,,,,,,,,,,,
2019,1,1,1,0,9,1.3900000000000001,0.1014,0.62,0,0,0,0,0,7,8.700000000000001,0,0,0,0,0.231,98.3,114.63,0.96,0.16,1002,1.1,253,1.6,,,,,,,,,,,,,,,,,
2019,1,1,2,0,8.4,1.4000000000000001,0.0937,0.62,0,0,0,0,0,7,8.4,0,0,0,0,0.23,99.9,126.71000000000001,0.96,0.16,1003,1.1,248,1.3,,,,,,,,,,,,,,,,,
2019,1,1,3,0,7.9,1.41,0.0897,0.62,0,0,0,0,0,7,7.9,0,0,0,0,0.229,100,138.9,0.96,0.16,1003,1.1,248,1.3,,,,,,,,,,,,,,,,,
2019,1,1,4,0,7.5,1.41,0.0878,0.62,0,0,0,0,0,7,7.5,0,0,0,0,0.23,100,150.88,0.9500000000000001,0.16,1004,1.1,259,1.3,,,,,,,,,,,,,,,,,
2019,1,1,5,0,7.300000000000001,1.4000000000000001,0.08850000000000001,0.62,0,0,0,0,0,7,7.300000000000001,0,0,0,0,0.23,100,161.73,0.9500000000000001,0.16,1005,1.2000000000000002,278,1.5,,,,,,,,,,,,,,,,,
2019,1,1,6,0,7,1.4000000000000001,0.08660000000000001,0.62,0,0,0,0,0,7,7,0,0,0,0,0.231,100,167.52,0.9500000000000001,0.16,1005,1.1,300,1.6,,,,,,,,,,,,,,,,,
2019,1,1,7,0,6.5,1.41,0.0805,0.62,0,0,0,0,0,7,6.5,0,0,0,0,0.231,100,162.20000000000002,0.9500000000000001,0.16,1006,1.1,322,1.6,,,,,,,,,,,,,,,,,
2019,1,1,8,0,5.9,1.43,0.0738,0.62,0,0,0,0,0,7,5.800000000000001,0,0,0,0,0.232,99.22,151.46,0.9400000000000001,0.16,1007,1,343,1.8,,,,,,,,,,,,,,,,,
2019,1,1,9,0,5.1000000000000005,1.43,0.0699,0.62,0,0,0,0,0,4,5.1000000000000005,0,0,0,0,0.232,99.72,139.51,0.9400000000000001,0.16,1007,1,355,1.9000000000000001,,,,,,,,,,,,,,,,,
2019,1,1,10,0,4.3,1.44,0.0674,0.62,0,0,0,0,0,0,4.3,0,0,0,0,0.234,100,127.31,0.9400000000000001,0.16,1007,1,2,2.1,,,,,,,,,,,,,,,,,
2019,1,1,11,0,3.6,1.44,0.0659,0.62,0,0,0,0,0,0,3.6,0,0,0,0,0.23600000000000002,100,115.21000000000001,0.93,0.16,1008,0.9,7,2.1,,,,,,,,,,,,,,,,,
2019,1,1,12,0,3,1.44,0.0669,0.62,0,0,0,0,0,0,3,0,0,0,0,0.23600000000000002,100,103.43,0.93,0.16,1009,0.9,11,2,,,,,,,,,,,,,,,,,
2019,1,1,13,0,3.4000000000000004,1.44,0.06860000000000001,0.62,0,0,0,0,0,8,3.4000000000000004,0,0,0,0,0.23600000000000002,99.89,92.19,0.93,0.16,1010,0.9,11,2.4000000000000004,,,,,,,,,,,,,,,,,
