Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5619657,-,b'New Hampshire',b'United States',43,-70.79,0,28,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,CLD OPD DCOMP,CLD REFF DCOMP,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,
2019,1,1,0,0,3.4000000000000004,1.27,0.0616,0.62,0,0,0,0,0,7,1.5,0,0,0,0,0.256,87.49,118.65,0.9500000000000001,0.14,1021,1.7000000000000002,186,4.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,1,1,0,3.1,1.21,0.064,0.62,0,0,0,0,0,7,1.6,0,0,0,0,0.25,89.69,129.6,0.96,0.14,1019,1.9000000000000001,180,4.7,,,,,,,,,,,,,,,,,
2019,1,1,2,0,2.5,1.1300000000000001,0.0722,0.62,0,0,0,0,0,6,1.6,0,0,0,0,0.253,93.99,140.37,0.96,0.14,1017,2.1,166,4.800000000000001,,,,,,,,,,,,,,,,,
2019,1,1,3,0,2.3000000000000003,1.04,0.0978,0.62,0,0,0,0,0,6,1.8,0,0,0,0,0.255,96.22,150.3,0.97,0.14,1014,2.3000000000000003,162,5.5,,,,,,,,,,,,,,,,,
2019,1,1,4,0,2.2,1,0.116,0.62,0,0,0,0,0,6,1.9000000000000001,0,0,0,0,0.253,97.73,157.83,0.98,0.14,1013,2.4000000000000004,162,5.7,,,,,,,,,,,,,,,,,
2019,1,1,5,0,1.9000000000000001,0.93,0.0786,0.62,0,0,0,0,0,6,1.9000000000000001,0,0,0,0,0.255,100,159.83,0.98,0.14,1011,2.5,157,5.800000000000001,,,,,,,,,,,,,,,,,
2019,1,1,6,0,2.3000000000000003,0.8300000000000001,0.050100000000000006,0.62,0,0,0,0,0,6,2.2,0,0,0,0,0.256,99.06,154.89000000000001,0.98,0.14,1008,2.7,149,6.300000000000001,,,,,,,,,,,,,,,,,
2019,1,1,7,0,3.2,0.65,0.0449,0.62,0,0,0,0,0,6,2.9000000000000004,0,0,0,0,0.253,97.78,145.97,0.97,0.14,1004,2.9000000000000004,152,6.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,1,8,0,4.1000000000000005,0.62,0.06430000000000001,0.62,0,0,0,0,0,6,3.8000000000000003,0,0,0,0,0.254,97.88,135.55,0.98,0.14,1000,2.8000000000000003,154,6,,,,,,,,,,,,,,,,,
2019,1,1,9,0,4.7,0.68,0.1023,0.62,0,0,0,0,0,7,4.7,0,0,0,0,0.258,99.67,124.64,0.98,0.14,997,2.5,166,4.5,,,,,,,,,,,,,,,,,
2019,1,1,10,0,5.1000000000000005,0.85,0.0912,0.62,0,0,0,0,0,7,4.9,0,0,0,0,0.261,98.87,113.73,0.97,0.14,995,2.1,218,4,,,,,,,,,,,,,,,,,
2019,1,1,11,0,4.4,1.11,0.057600000000000005,0.62,0,0,0,0,0,6,4,0,0,0,0,0.261,97.35000000000001,103.13,0.9500000000000001,0.14,995,1.8,241,4.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,1,12,0,3.9000000000000004,1.25,0.047,0.62,0,0,0,0,0,6,3.4000000000000004,0,0,0,0,0.262,96.72,93.13,0.92,0.14,995,1.8,241,4.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,1,13,0,4.9,1.31,0.0468,0.62,0,0,31,431,77,0,4.3,31,431,0,77,0.264,95.7,83.91,0.92,0.14,995,1.7000000000000002,245,5,,,,,,,,,,,,,,,,,
2019,1,1,14,0,6.2,1.34,0.0483,0.62,0,0,51,668,210,1,5.4,51,668,0,210,0.265,94.84,76.25,0.92,0.14,996,1.5,255,5.4,,,,,,,,,,,,,,,,,
2019,1,1,15,0,7.4,1.3900000000000001,0.039900000000000005,0.62,0,0,59,796,326,0,6,59,796,0,326,0.266,90.86,70.36,0.89,0.14,996,1.2000000000000002,264,5.7,,,,,,,,,,,,,,,,,
2019,1,1,16,0,7.5,1.35,0.0328,0.62,0,0,61,858,399,0,4.7,61,858,0,399,0.265,82.38,66.82000000000001,0.9,0.14,998,1,283,6.4,,,,,,,,,,,,,,,,,
2019,1,1,17,0,6.7,1.3900000000000001,0.028,0.62,0,0,60,879,417,0,2.9000000000000004,60,879,0,417,0.265,76.53,66.02,0.9,0.14,999,0.9,297,6.7,,,,,,,,,,,,,,,,,
2019,1,1,18,0,5.800000000000001,1.44,0.0284,0.62,0,0,57,856,377,0,1.9000000000000001,57,856,0,377,0.266,75.84,68.06,0.89,0.14,1002,0.9,305,6.4,,,,,,,,,,,,,,,,,
2019,1,1,19,0,5,1.41,0.034,0.62,0,0,54,783,287,0,1.3,54,783,0,287,0.268,77.03,72.7,0.9,0.14,1004,0.9,307,6,,,,,,,,,,,,,,,,,
2019,1,1,20,0,4.1000000000000005,1.3900000000000001,0.0397,0.62,0,0,43,629,158,0,0.9,43,629,0,158,0.27,79.5,79.45,0.92,0.14,1006,0.9,308,5.7,,,,,,,,,,,,,,,,,
2019,1,1,21,0,3.1,1.37,0.0434,0.62,0,0,17,267,28,0,0.4,17,267,0,28,0.273,82.4,87.63,0.93,0.14,1008,0.8,309,5.4,,,,,,,,,,,,,,,,,
2019,1,1,22,0,2.3000000000000003,1.36,0.0422,0.62,0,0,0,0,0,0,-0.30000000000000004,0,0,0,0,0.274,83.13,97.45,0.93,0.14,1010,0.8,309,5.300000000000001,,,,,,,,,,,,,,,,,
2019,1,1,23,0,1.7000000000000002,1.3800000000000001,0.036500000000000005,0.62,0,0,0,0,0,0,-1,0,0,0,0,0.276,82.41,107.75,0.93,0.14,1012,0.6000000000000001,310,5.2,,,,,,,,,,,,,,,,,
2019,1,2,0,0,1.1,1.3900000000000001,0.031200000000000002,0.62,0,0,0,0,0,4,-1.7000000000000002,0,0,0,0,0.28,81.86,118.52,0.93,0.14,1013,0.5,313,5.2,,,,,,,,,,,,,,,,,
2019,1,2,1,0,0.30000000000000004,1.3800000000000001,0.0274,0.62,0,0,0,0,0,0,-2.4000000000000004,0,0,0,0,0.28800000000000003,82.12,129.46,0.93,0.14,1014,0.4,316,5,,,,,,,,,,,,,,,,,
2019,1,2,2,0,-0.4,1.37,0.0244,0.62,0,0,0,0,0,0,-3.3000000000000003,0,0,0,0,0.297,80.96000000000001,140.23,0.92,0.14,1015,0.4,319,4.800000000000001,,,,,,,,,,,,,,,,,
2019,1,2,3,0,-1.2000000000000002,1.35,0.0222,0.62,0,0,0,0,0,0,-4.2,0,0,0,0,0.306,80.25,150.16,0.92,0.14,1016,0.30000000000000004,321,4.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,2,4,0,-1.8,1.33,0.0201,0.62,0,0,0,0,0,0,-5,0,0,0,0,0.316,78.92,157.71,0.91,0.14,1017,0.30000000000000004,322,4.6000000000000005,,,,,,,,,,,,,,,,,
2019,1,2,5,0,-2.4000000000000004,1.3,0.0182,0.62,0,0,0,0,0,0,-5.7,0,0,0,0,0.325,78.26,159.76,0.91,0.14,1018,0.30000000000000004,323,4.5,,,,,,,,,,,,,,,,,
2019,1,2,6,0,-2.9000000000000004,1.28,0.0171,0.62,0,0,0,0,0,0,-6.2,0,0,0,0,0.329,77.86,154.88,0.9,0.14,1019,0.30000000000000004,326,4.4,,,,,,,,,,,,,,,,,
2019,1,2,7,0,-3.3000000000000003,1.26,0.0173,0.62,0,0,0,0,0,1,-6.7,0,0,0,0,0.33,77.15,145.99,0.91,0.14,1020,0.30000000000000004,328,4.3,,,,,,,,,,,,,,,,,
2019,1,2,8,0,-3.5,1.22,0.019100000000000002,0.62,0,0,0,0,0,7,-7.300000000000001,0,0,0,0,0.334,74.85000000000001,135.58,0.91,0.14,1020,0.30000000000000004,327,4.3,,,,,,,,,,,,,,,,,
2019,1,2,9,0,-3.6,1.16,0.0238,0.62,0,0,0,0,0,7,-7.800000000000001,0,0,0,0,0.34600000000000003,72.65,124.67,0.93,0.14,1021,0.30000000000000004,329,4.4,,,,,,,,,,,,,,,,,
