Project ID,Project Name,Sector & subsector,Structure,Country,Power Region,State,Developer,Offtaker,PPA estimated signing year,Term,Capacity (MW)
365,Crookwell Wind Farm Phase II,"Wind, Onshore",Not reported,Australia,,,Union Fenosa Wind Australia Pty Ltd,ACT Government,2016,,92
375,Pacific Hydro Clements Gap Wind Farm,"Wind, Onshore",Virtual PPA,Australia,,,Pacific Hydro Pty Ltd,Orora Packaging Australia Pty Ltd,2017,,57
607,Somerset Wind Farm,"Wind, Onshore",Not reported,United States,PJM,Pennsylvania,Community Energy Inc,Carnegie Mellon University,2001,20,4.5
607,Somerset Wind Farm,"Wind, Onshore",Not reported,United States,PJM,Pennsylvania,Community Energy Inc,Pennsylvania State University,2001,20,4.5
1470,Horns Rev Offshore Wind Farm Expansion,"Wind, Offshore",Not reported,Denmark,,,ENERGI E2 AS,Novo Nordisk,2007,11,42
1470,Horns Rev Offshore Wind Farm Expansion,"Wind, Offshore",Not reported,Denmark,,,ENERGI E2 AS,Novozymes,2008,11,63
1502,Rail Splitter Wind Farm,"Wind, Onshore",Virtual PPA,United States,MISO,Illinois,Horizon Wind Energy,University of Illinois at Urbana-Champaign,2016,,9
1630,SunPower Naval Base Coronado PV Plant,"Solar, PV",Not reported,United States,California,California,SunPower Corp,US Department of Defense,2001,,0.9
1634,Johnson & Johnson Janssen Titusville PV Plant Phase I,"Solar, PV",Not reported,United States,PJM,New Jersey,Johnson & Johnson,Johnson & Johnson,2001,,0.5
1916,FedEx Oakland Airport PV Plant,"Solar, PV",Not reported,United States,California,California,SunPower Corp,FedEx Corp,2003,,0.9
2691,Spearville Wind Farm Phase I,"Wind, Onshore",Virtual PPA,United States,SPP,Kansas,EDF Energy,Sprint Communications Inc,2006,,10
3062,Voridian Wind Project,"Wind, Onshore",Not reported,United Kingdom,,,Wind Direct Ltd,Eastman Chemical,2009,,4.1
4209,Vattenfall Kriegers Flak Offshore Wind Farm,"Wind, Offshore",Virtual PPA,Denmark,,,Vattenfall,Novo Nordisk,2018,,60
4209,Vattenfall Kriegers Flak Offshore Wind Farm,"Wind, Offshore",Virtual PPA,Denmark,,,Vattenfall,Novozymes,2018,,60
