pca_res,pca,rto,census_reg,state,inter
s1,p2,rto1,PA,WA,western
s2,p1,rto1,PA,WA,western
s3,p1,rto1,PA,WA,western
s4,p1,rto1,PA,WA,western
s5,p2,rto1,PA,WA,western
s6,p3,rto1,PA,WA,western
s7,p4,rto1,PA,WA,western
s8,p3,rto1,PA,WA,western
s9,p2,rto1,PA,WA,western
s10,p5,rto1,PA,OR,western
s11,p5,rto1,PA,OR,western
s12,p5,rto1,PA,OR,western
s13,p5,rto1,PA,OR,western
s14,p6,rto1,PA,OR,western
s15,p6,rto1,PA,OR,western
s16,p5,rto1,PA,OR,western
s17,p5,rto1,PA,OR,western
s18,p7,rto1,PA,OR,western
s19,p7,rto1,PA,OR,western
s20,p9,rto4,PA,CA,western
s21,p8,rto2,PA,CA,western
s22,p9,rto4,PA,CA,western
s23,p9,rto4,PA,CA,western
s24,p9,rto4,PA,CA,western
s25,p9,rto4,PA,CA,western
s26,p9,rto4,PA,CA,western
s27,p9,rto4,PA,CA,western
s28,p10,rto4,PA,CA,western
s29,p9,rto4,PA,CA,western
s30,p10,rto4,PA,CA,western
s31,p10,rto4,PA,CA,western
s32,p11,rto4,PA,CA,western
s33,p10,rto4,PA,CA,western
s34,p12,rto2,MTN,NV,western
s35,p12,rto2,MTN,NV,western
s36,p12,rto2,MTN,NV,western
s37,p12,rto2,MTN,NV,western
s38,p12,rto2,MTN,NV,western
s39,p12,rto2,MTN,NV,western
s40,p13,rto3,MTN,NV,western
s41,p14,rto1,MTN,ID,western
s42,p15,rto1,MTN,ID,western
s43,p15,rto1,MTN,ID,western
s44,p15,rto1,MTN,ID,western
s45,p15,rto1,MTN,ID,western
s46,p16,rto1,MTN,ID,western
s47,p16,rto1,MTN,ID,western
s48,p25,rto2,MTN,UT,western
s49,p25,rto2,MTN,UT,western
s50,p26,rto2,MTN,UT,western
s51,p25,rto2,MTN,UT,western
s52,p25,rto2,MTN,UT,western
s53,p27,rto3,MTN,AZ,western
s54,p28,rto3,MTN,AZ,western
s55,p29,rto3,MTN,AZ,western
s56,p28,rto3,MTN,AZ,western
s57,p28,rto3,MTN,AZ,western
s58,p30,rto3,MTN,AZ,western
s59,p28,rto3,MTN,AZ,western
s60,p17,rto1,MTN,MT,western
s61,p17,rto1,MTN,MT,western
s62,p17,rto1,MTN,MT,western
s63,p17,rto1,MTN,MT,western
s64,p18,rto2,MTN,MT,western
s65,p18,rto2,MTN,MT,western
s66,p20,rto2,MTN,MT,western
s67,p18,rto2,MTN,MT,western
s68,p19,rto2,MTN,MT,western
s69,p20,rto2,MTN,MT,western
s70,p21,rto2,MTN,WY,western
s71,p21,rto2,MTN,WY,western
s72,p22,rto2,MTN,WY,western
s73,p23,rto5,MTN,WY,western
s74,p24,rto5,MTN,WY,western
s75,p33,rto5,MTN,CO,western
s76,p33,rto5,MTN,CO,western
s77,p34,rto5,MTN,CO,western
s78,p34,rto5,MTN,CO,western
s79,p33,rto5,MTN,CO,western
s80,p33,rto5,MTN,CO,western
s81,p33,rto5,MTN,CO,western
s82,p33,rto5,MTN,CO,western
