Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly)
 01/01  01:00:00,17.16032281,1.744498531,0,0,5.481224596,1.011599678,56.67812917,56.67812917,,
 01/01  02:00:00,16.99731611,1.581491837,0,0,5.481224596,1.011599678,51.4497074,51.4497074,,
 01/01  03:00:00,17.63660069,2.220776419,0,0,5.481224596,1.011599678,73.01477443,73.01477443,,
 01/01  04:00:00,17.19881486,1.782990586,0,0,5.481224596,1.011599678,58.30942321,58.30942321,,
 01/01  05:00:00,17.79909111,2.38326684,0,0,5.481224596,1.011599678,78.85995178,78.85995178,,
 01/01  06:00:00,17.31577725,1.89995298,0,0,5.481224596,1.011599678,62.49084019,62.49084019,,
 01/01  07:00:00,17.82865162,2.412827344,0,0,5.481224596,1.011599678,80.10643944,80.10643944,,
 01/01  08:00:00,9.839313488,1.859322547,0,0,5.481224596,1.011599678,61.15288777,61.15288777,,
 01/01  09:00:00,8.601120019,2.108295745,0,0,5.481224596,1.011599678,69.4438746,69.4438746,,
 01/01  10:00:00,7.610780475,1.1179562,0,0,5.481224596,1.011599678,36.27713433,36.27713433,,
 01/01  11:00:00,7.352796433,0.859972159,0,0,5.481224596,1.011599678,27.91713807,27.91713807,,
 01/01  12:00:00,6.571738724,0.078914449,0,0,5.481224596,1.011599678,2.543137491,2.543137491,,
 01/01  13:00:00,6.492824274,0,0,0,5.481224596,1.011599678,0,0,,
 01/01  14:00:00,6.492824274,0,0,0,5.481224596,1.011599678,0,0,,
 01/01  15:00:00,6.492824274,0,0,0,5.481224596,1.011599678,0,0,,
 01/01  16:00:00,6.492824274,0,0,0,5.481224596,1.011599678,0,0,,
 01/01  17:00:00,7.979990941,0,0,0,5.481224596,1.011599678,0,0,,
 01/01  18:00:00,16.15973405,0.743909775,0,0,5.481224596,1.011599678,24.14619002,24.14619002,,
 01/01  19:00:00,16.33251671,0.916692434,0,0,5.481224596,1.011599678,29.63022601,29.63022601,,
 01/01  20:00:00,16.9631056,1.547281328,0,0,5.481224596,1.011599678,50.28814011,50.28814011,,
 01/01  21:00:00,16.75213528,1.336311007,0,0,5.481224596,1.011599678,43.34198571,43.34198571,,
 01/01  22:00:00,17.32142229,1.905598013,0,0,5.481224596,1.011599678,62.17262874,62.17262874,,
 01/01  23:00:00,16.81225208,1.396427807,0,0,5.481224596,1.011599678,45.33695382,45.33695382,,
 01/01  24:00:00,17.2569367,1.841112428,0,0,5.481224596,1.011599678,60.00475049,60.00475049,,
 01/02  01:00:00,16.82038531,1.404561035,0,0,5.481224596,1.011599678,45.56174881,45.56174881,,
 01/02  02:00:00,17.3479977,1.932173429,0,0,5.481224596,1.011599678,62.99655928,62.99655928,,
 01/02  03:00:00,16.9141913,1.498367026,0,0,5.481224596,1.011599678,48.65275678,48.65275678,,
 01/02  04:00:00,17.40526159,1.989437314,0,0,5.481224596,1.011599678,64.92208047,64.92208047,,
 01/02  05:00:00,16.90216165,1.486337378,0,0,5.481224596,1.011599678,48.22486628,48.22486628,,
